"goal","dimension","region_id","score","region_label"
"MAR","score",99,,"Benin"
"MAR","score",100,,"Republique du Congo"
"MAR","score",101,16.03,"Namibia"
"MAR","score",102,0.89,"South Africa"
"MAR","score",103,,"Sao Tome and Principe"
"MAR","score",104,,"Equatorial Guinea"
"MAR","score",105,,"Bouvet Island"
"MAR","score",106,,"Ghana"
"MAR","score",107,,"Clipperton Island"
"MAR","score",108,,"Bermuda"
"MAR","score",110,0,"Bahamas"
"MAR","score",111,0.02,"Turks and Caicos Islands"
"MAR","score",112,1.68,"Cuba"
"MAR","score",113,,"Cayman Islands"
"MAR","score",114,,"Haiti"
"MAR","score",115,0.3,"Dominican Republic"
"MAR","score",116,0,"Puerto Rico and Virgin Islands of the United States"
"MAR","score",117,,"British Virgin Islands"
"MAR","score",118,,"Anguilla"
"MAR","score",119,0,"Saint Kitts and Nevis"
"MAR","score",120,,"Antigua and Barbuda"
"MAR","score",121,,"Montserrat"
"MAR","score",122,,"Saint Lucia"
"MAR","score",123,,"Dominica"
"MAR","score",124,,"Barbados"
"MAR","score",125,,"Grenada"
"MAR","score",126,,"Trinidad and Tobago"
"MAR","score",127,,"Saint Vincent and the Grenadines"
"MAR","score",129,5.66,"Panama"
"MAR","score",130,5.98,"Costa Rica"
"MAR","score",131,15.16,"Nicaragua"
"MAR","score",132,4.13,"Colombia"
"MAR","score",133,8.24,"Honduras"
"MAR","score",134,0.32,"El Salvador"
"MAR","score",135,18.82,"Mexico"
"MAR","score",136,33.24,"Guatemala"
"MAR","score",137,100,"Ecuador"
"MAR","score",138,26.88,"Peru"
"MAR","score",139,3,"Venezuela"
"MAR","score",140,0.27,"Guadeloupe and Martinique"
"MAR","score",141,100,"Faeroe Islands"
"MAR","score",143,63.18,"Iceland"
"MAR","score",144,,"Jan Mayen"
"MAR","score",145,,"Greenland"
"MAR","score",146,,"Pitcairn"
"MAR","score",147,50.18,"French Polynesia"
"MAR","score",148,,"Line Group"
"MAR","score",149,,"Jarvis Island"
"MAR","score",150,,"Palmyra Atoll"
"MAR","score",151,,"American Samoa"
"MAR","score",152,0,"Samoa"
"MAR","score",153,0,"Cook Islands"
"MAR","score",154,,"Niue"
"MAR","score",155,0,"Tonga"
"MAR","score",156,,"Tokelau"
"MAR","score",157,,"Phoenix Group"
"MAR","score",158,,"Howland Island and Baker Island"
"MAR","score",159,,"Johnston Atoll"
"MAR","score",161,,"Wallis and Futuna"
"MAR","score",162,100,"New Zealand"
"MAR","score",163,10.51,"United States"
"MAR","score",164,50.47,"Belize"
"MAR","score",166,0.08,"Jamaica"
"MAR","score",167,0.63,"Guyana"
"MAR","score",168,0.48,"Suriname"
"MAR","score",169,,"French Guiana"
"MAR","score",171,4.32,"Brazil"
"MAR","score",172,0.07,"Argentina"
"MAR","score",173,0,"Uruguay"
"MAR","score",174,14.54,"Finland"
"MAR","score",175,9.7,"Denmark"
"MAR","score",176,13.23,"Germany"
"MAR","score",177,30.35,"Netherlands"
"MAR","score",178,,"Poland"
"MAR","score",179,72.58,"France"
"MAR","score",180,16.05,"United Kingdom"
"MAR","score",181,67.92,"Ireland"
"MAR","score",182,66,"Spain"
"MAR","score",183,4.51,"Portugal"
"MAR","score",184,20.09,"Italy"
"MAR","score",185,,"Monaco"
"MAR","score",186,6,"Montenegro"
"MAR","score",187,15.91,"Croatia"
"MAR","score",188,6.49,"Slovenia"
"MAR","score",189,,"Lithuania"
"MAR","score",190,0,"Qatar"
"MAR","score",191,6.64,"Iran"
"MAR","score",192,,"Iraq"
"MAR","score",193,,"Guinea Bissau"
"MAR","score",194,,"Guinea"
"MAR","score",195,,"Ivory Coast"
"MAR","score",196,0,"Nigeria"
"MAR","score",197,,"Cameroon"
"MAR","score",198,,"Gabon"
"MAR","score",199,,"Democratic Republic of the Congo"
"MAR","score",200,,"Angola"
"MAR","score",202,0.14,"Tanzania"
"MAR","score",203,2.28,"India"
"MAR","score",204,12.84,"Bangladesh"
"MAR","score",205,7.57,"Myanmar"
"MAR","score",206,32.34,"Malaysia"
"MAR","score",207,33.46,"Vietnam"
"MAR","score",208,2.23,"Singapore"
"MAR","score",209,100,"China"
"MAR","score",210,25.45,"Japan"
"MAR","score",212,0.14,"Kiribati"
"MAR","score",213,,"Antarctica"
"MAR","score",214,20.58,"Egypt"
"MAR","score",215,,"Jordan"
"MAR","score",216,16.3,"Indonesia"
"MAR","score",218,92.88,"Canada"
"MAR","score",219,,"Saint Pierre and Miquelon"
"MAR","score",220,,"Sint Maarten"
"MAR","score",221,,"Northern Saint-Martin"
"MAR","score",222,3.24,"Sweden"
"MAR","score",223,100,"Norway"
"MAR","score",224,100,"Chile"
"MAR","score",227,,"Jersey"
